forest,plot,pest,severity,date
Atacado-Formiga,1,Formiga,LOW,2022-04-01
Atacado-Formiga,2,Formiga,LOW,2022-04-01
Atacado-Formiga,3,Formiga,LOW,2022-04-01
Atacado-Formiga,4,Formiga,LOW,2022-04-01
Atacado-Formiga,5,Formiga,LOW,2022-04-01
Atacado-Formiga,6,Formiga,LOW,2022-04-01
Atacado-Formiga,7,Formiga,LOW,2022-04-01
Atacado-Formiga,8,Formiga,LOW,2022-04-01
Atacado-Formiga,9,Formiga,LOW,2022-04-01
Atacado-Formiga,10,Formiga,LOW,2022-04-01
Atacado-Formiga,11,Formiga,LOW,2022-04-01
Atacado-Formiga,12,Formiga,LOW,2022-04-01
Atacado-Formiga,13,Formiga,LOW,2022-04-01
Atacado-Formiga,14,Formiga,LOW,2022-04-01
Atacado-Formiga,15,Formiga,LOW,2022-04-01
Atacado-Formiga,16,Formiga,LOW,2022-04-01
Atacado-Formiga,17,Formiga,LOW,2022-04-01
Atacado-Formiga,18,Formiga,LOW,2022-04-01
Atacado-Formiga,19,Formiga,LOW,2022-04-01
Atacado-Formiga,20,Formiga,LOW,2022-04-01
Atacado-Formiga,21,Formiga,LOW,2022-04-01
Atacado-Formiga,22,Formiga,LOW,2022-04-01
Atacado-Formiga,23,Formiga,LOW,2022-04-01
Atacado-Formiga,24,Formiga,LOW,2022-04-01
Atacado-Formiga,25,Formiga,LOW,2022-04-01
Atacado-Formiga,26,Formiga,LOW,2022-04-01
Atacado-Formiga,27,Formiga,LOW,2022-04-01
Atacado-Formiga,28,Formiga,LOW,2022-04-01
Atacado-Formiga,29,Formiga,LOW,2022-04-22
Atacado-Formiga,30,Formiga,LOW,2022-04-22
Atacado-Formiga,31,Formiga,LOW,2022-04-22
Atacado-Formiga,32,Formiga,LOW,2022-04-22
Atacado-Formiga,33,Formiga,LOW,2022-04-22
Atacado-Formiga,34,Formiga,LOW,2022-04-22
Atacado-Formiga,35,Formiga,LOW,2022-04-22
Atacado-Formiga,36,Formiga,LOW,2022-04-22
Atacado-Formiga,37,Formiga,LOW,2022-04-22
Atacado-Formiga,38,Formiga,LOW,2022-04-22
Atacado-Formiga,39,Formiga,LOW,2022-04-22
Atacado-Formiga,40,Formiga,LOW,2022-04-22
Atacado-Formiga,41,Formiga,LOW,2022-04-22
Atacado-Formiga,42,Formiga,LOW,2022-04-22
Atacado-Formiga,43,Formiga,LOW,2022-04-22
Atacado-Formiga,44,Formiga,LOW,2022-04-22
Atacado-Formiga,45,Formiga,LOW,2022-04-22
Atacado-Formiga,46,Formiga,LOW,2022-04-22
Atacado-Formiga,47,Formiga,LOW,2022-04-22
Atacado-Formiga,48,Formiga,LOW,2022-04-22
Atacado-Formiga,49,Formiga,LOW,2022-04-22
Atacado-Formiga,50,Formiga,LOW,2022-04-22
Atacado-Formiga,51,Formiga,LOW,2022-04-22
Atacado-Formiga,52,Formiga,LOW,2022-04-22
Atacado-Formiga,53,Formiga,LOW,2022-04-22
Atacado-Formiga,54,Formiga,LOW,2022-04-22
Atacado-Formiga,55,Formiga,LOW,2022-04-22
Atacado-Formiga,56,Formiga,LOW,2022-04-22
Atacado-Formiga,57,Formiga,LOW,2022-04-22
Atacado-Formiga,58,Formiga,LOW,2022-04-22
Atacado-Formiga,59,Formiga,LOW,2022-04-22
Atacado-Formiga,60,Formiga,LOW,2022-04-22
Atacado-Formiga,61,Formiga,LOW,2022-04-22
Atacado-Formiga,62,Formiga,LOW,2022-04-22
Atacado-Formiga,63,Formiga,LOW,2022-04-22
Atacado-Formiga,64,Formiga,LOW,2022-04-22
Atacado-Formiga,65,Formiga,LOW,2022-04-22
Atacado-Formiga,66,Formiga,LOW,2022-04-22
Atacado-Formiga,67,Formiga,LOW,2022-04-22
