forest,plot,pest,severity,date
1-Saudavel,1,Saudavel,LOW,2022-06-01
1-Saudavel,2,Saudavel,LOW,2022-06-01
1-Saudavel,3,Saudavel,LOW,2022-06-01
1-Saudavel,4,Saudavel,LOW,2022-06-01
1-Saudavel,5,Saudavel,LOW,2022-06-01
1-Saudavel,6,Saudavel,LOW,2022-06-01
1-Saudavel,7,Saudavel,LOW,2022-06-01
1-Saudavel,8,Saudavel,LOW,2022-06-01
1-Saudavel,9,Saudavel,LOW,2022-07-01
1-Saudavel,10,Saudavel,LOW,2022-08-01
1-Saudavel,11,Saudavel,LOW,2022-08-01
1-Saudavel,12,Saudavel,LOW,2022-08-01
1-Saudavel,13,Saudavel,LOW,2022-08-01
1-Saudavel,14,Saudavel,LOW,2022-06-01
1-Saudavel,15,Saudavel,LOW,2022-07-01
1-Saudavel,16,Saudavel,LOW,2022-07-01
1-Saudavel,17,Saudavel,LOW,2022-07-01
1-Saudavel,18,Saudavel,LOW,2022-07-01
1-Saudavel,19,Saudavel,LOW,2022-07-01
1-Saudavel,20,Saudavel,LOW,2022-07-01
1-Saudavel,21,Saudavel,LOW,2022-07-01
1-Saudavel,22,Saudavel,LOW,2022-07-01
1-Saudavel,23,Saudavel,LOW,2022-07-01
1-Saudavel,24,Saudavel,LOW,2022-07-01
1-Saudavel,25,Saudavel,LOW,2022-07-01
1-Saudavel,26,Saudavel,LOW,2022-07-01
1-Saudavel,27,Saudavel,LOW,2022-07-01
1-Saudavel,28,Saudavel,LOW,2022-07-01
1-Saudavel,29,Saudavel,LOW,2022-07-01
1-Saudavel,30,Saudavel,LOW,2022-07-01
1-Saudavel,31,Saudavel,LOW,2022-07-01
1-Saudavel,32,Saudavel,LOW,2022-07-01
1-Saudavel,33,Saudavel,LOW,2022-07-01
1-Saudavel,34,Saudavel,LOW,2022-07-01
1-Saudavel,35,Saudavel,LOW,2022-07-01
1-Saudavel,36,Saudavel,LOW,2022-07-01
1-Saudavel,37,Saudavel,LOW,2022-07-01
1-Saudavel,38,Saudavel,LOW,2022-07-01
1-Saudavel,39,Saudavel,LOW,2022-07-01
1-Saudavel,40,Saudavel,LOW,2022-07-01
1-Saudavel,41,Saudavel,LOW,2022-07-01
1-Saudavel,42,Saudavel,LOW,2022-07-01
1-Saudavel,43,Saudavel,LOW,2022-07-01
1-Saudavel,44,Saudavel,LOW,2022-07-01
1-Saudavel,45,Saudavel,LOW,2022-07-01
1-Saudavel,46,Saudavel,LOW,2022-07-01
1-Saudavel,47,Saudavel,LOW,2022-07-01
1-Saudavel,48,Saudavel,LOW,2022-06-01
1-Saudavel,49,Saudavel,LOW,2022-07-01
1-Saudavel,50,Saudavel,LOW,2022-07-01
1-Saudavel,51,Saudavel,LOW,2022-07-01
1-Saudavel,52,Saudavel,LOW,2022-07-01
1-Saudavel,53,Saudavel,LOW,2022-07-01
1-Saudavel,54,Saudavel,LOW,2022-07-01
1-Saudavel,55,Saudavel,LOW,2022-07-01
1-Saudavel,56,Saudavel,LOW,2022-07-01
1-Saudavel,57,Saudavel,LOW,2022-07-01
1-Saudavel,58,Saudavel,LOW,2022-07-01
1-Saudavel,59,Saudavel,LOW,2022-07-01
1-Saudavel,60,Saudavel,LOW,2022-07-01
1-Saudavel,61,Saudavel,LOW,2022-06-01
1-Saudavel,62,Saudavel,LOW,2022-07-01
1-Saudavel,63,Saudavel,LOW,2022-07-01
1-Saudavel,64,Saudavel,LOW,2022-06-01
1-Saudavel,65,Saudavel,LOW,2022-06-01
1-Saudavel,66,Saudavel,LOW,2022-06-01
1-Saudavel,67,Saudavel,LOW,2022-06-01
1-Saudavel,68,Saudavel,LOW,2022-06-01
1-Saudavel,69,Saudavel,LOW,2022-06-01
1-Saudavel,70,Saudavel,LOW,2022-06-01
1-Saudavel,71,Saudavel,LOW,2022-06-01
1-Saudavel,72,Saudavel,LOW,2022-06-01
1-Saudavel,73,Saudavel,LOW,2022-06-01
1-Saudavel,74,Saudavel,LOW,2022-06-01
1-Saudavel,75,Saudavel,LOW,2022-06-01
1-Saudavel,76,Saudavel,LOW,2022-06-01
1-Saudavel,77,Saudavel,LOW,2022-06-01
1-Saudavel,78,Saudavel,LOW,2022-06-01
1-Saudavel,79,Saudavel,LOW,2022-07-01
1-Saudavel,80,Saudavel,LOW,2022-06-01
1-Saudavel,81,Saudavel,LOW,2022-06-01
1-Saudavel,82,Saudavel,LOW,2022-06-01
1-Saudavel,83,Saudavel,LOW,2022-06-01
1-Saudavel,84,Saudavel,LOW,2022-06-01
1-Saudavel,85,Saudavel,LOW,2022-06-01
1-Saudavel,86,Saudavel,LOW,2022-06-01
